0: Alard | Imperial Family & Court | ⚔️ 반란 귀족 및 기타 기사 (Revolting Barons & Knights) | Count Aymon’s second son. Though he is not as strong and val
1: Aymer the Puny | Imperial Family & Court | ⚔️ 반란 귀족 및 기타 기사 (Revolting Barons & Knights) | William Shortnose’s younger brother gets captured at Ronceva
2: Fulco of Candie | Imperial Family & Court | ⚔️ 반란 귀족 및 기타 기사 (Revolting Barons & Knights) | The nephew of Vivien the Fearless is a fighter worthy of his
3: Garin of Anjou | Imperial Family & Court | ⚔️ 반란 귀족 및 기타 기사 (Revolting Barons & Knights) | William Shortnose’s younger brother is the father of Vivien.
4: Garnier of Nanteuil | Imperial Family & Court | ⚔️ 반란 귀족 및 기타 기사 (Revolting Barons & Knights) | Raised at the royal court, he fights at the side of Anseïs o
5: Gerard of Vienne | Imperial Family & Court | ⚔️ 반란 귀족 및 기타 기사 (Revolting Barons & Knights) | When Oliver’s proud and independent uncle is insulted by Kin
6: Guichard the Wild | Imperial Family & Court | ⚔️ 반란 귀족 및 기타 기사 (Revolting Barons & Knights) | Count Aymon’s fourth son is Bradamant’s twin brother. His ra
7: Guy of Nanteuil | Imperial Family & Court | ⚔️ 반란 귀족 및 기타 기사 (Revolting Barons & Knights) | T o avenge his father’s death, Guy allies with the chivalrou
8: Lion of Bourges | Imperial Family & Court | ⚔️ 반란 귀족 및 기타 기사 (Revolting Barons & Knights) | The courteous son of the destitute Count Herpin of Bourges l
9: Milo of Aiglent | Imperial Family & Court | ⚔️ 반란 귀족 및 기타 기사 (Revolting Barons & Knights) | The father of Roland is the strong, handsome, optimistic, va
10: Oliver and William of Bourges | Imperial Family & Court | ⚔️ 반란 귀족 및 기타 기사 (Revolting Barons & Knights) | These twin brothers are the sons of Lion of Bourges and Flor
11: Richard | Imperial Family & Court | ⚔️ 반란 귀족 및 기타 기사 (Revolting Barons & Knights) | Count Aymon’s third son is a doughty warrior. Unlike his bro
12: Pepin the Short (714–768) | Imperial Family & Court | 👑 황실 부모 (Parents) | Charlemagne’s father is the illustrious son of the great Cha
13: Bertrada Broadfoot (726–783) | Imperial Family & Court | 👑 황실 부모 (Parents) | Pepin the Short’s wife is the daughter of King Floris and Qu
14: Adelaid (738–756) | Imperial Family & Court | 👑 황실 형제 (Siblings) | Wife of Aymon of Dordon and the mother of Renaud, his brothe
15: Rothaid (744–789) | Imperial Family & Court | 👑 황실 형제 (Siblings) | A meek but handsome princess, who marries Count Anthony of A
16: Carloman I (750–771) | Imperial Family & Court | 👑 황실 형제 (Siblings) | Charlemagne’s younger and more intellectual brother was rais
17: Gertrude (751–771) | Imperial Family & Court | 👑 황실 형제 (Siblings) | A strong-willed woman who marries a Neustrian count. She die
18: Gisela (757–810) | Imperial Family & Court | 👑 황실 형제 (Siblings) | This grave and distant girl is promised to the Lombard princ
19: Himiltrude (764–770) | Imperial Family & Court | 👑 황실 황후 (Wives) | This young Frankish concubine of modest origins is not offic
20: Desideria (770–771) | Imperial Family & Court | 👑 황실 황후 (Wives) | The third daughter of King Desiderius is a lovely and refine
21: Hildegard (771–783) | Imperial Family & Court | 👑 황실 황후 (Wives) | This Alemannian princess is only 13 years old when Charlemag
22: Liutgard (795–800) | Imperial Family & Court | 👑 황실 황후 (Wives) | A gentle Alemannian princess, whom Charlemagne is already co
23: Gerswinda | Imperial Family & Court | 👑 황실 후궁 (Concubines) | Mother of Adaltrude.
24: Madelgard | Imperial Family & Court | 👑 황실 후궁 (Concubines) | Mother of a Ruothild.
25: Regina | Imperial Family & Court | 👑 황실 후궁 (Concubines) | Mother of Drogo and Hugo.
26: Adallinda | Imperial Family & Court | 👑 황실 후궁 (Concubines) | Mother of Ricbod and Thierry.
27: Pepin the Hunchback (765–811) | Imperial Family & Court | 👑 황실 황자 (Sons) | The deformed son of Charlemagne’s concubine Himiltrude is re
